epoch,train_loss,train_acc
1,0.06578880559917603,33.02
2,0.05966885350716091,43.026
3,0.05491656797174758,47.972
4,0.05278017195996305,51.348
5,0.05167054012656135,53.772
6,0.04872265734584074,56.182
7,0.04713709554226827,58.32
8,0.04504192901283064,59.662
9,0.0450408150580779,61.462
10,0.041371817666601085,63.042
11,0.041949118205697127,63.938
12,0.0403829764191035,65.134
13,0.03910072791370458,65.924
14,0.036917841861588176,66.896
15,0.03635275718575476,67.912
16,0.03613066030707942,68.61
17,0.03533583284568421,69.12
18,0.03684482029898382,69.61
19,0.0344670538290601,69.848
20,0.03349029398162778,70.712
